Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
5,847000,2901,"(2025, 3, 17)",央视网快看,1931375,166,润去德法英啊！,3,Xinjiang Counter-terrorism,Media
0,302000,1062,"(2024, 11, 15)",我是小木ovo,3286,42,逝者安息,3,Xinjiang Counter-terrorism,None
0,773000,507,"(2024, 7, 8)",哔哩大学人文学院,982751,23,伊犁,2,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,3块,6,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,带上口罩更像本地人了,8,Xinjiang Counter-terrorism,None
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,人总要有思想，没有正确的三观去影响，就会被其他不正确的东西抢先影响，所以真的教育刻不容缓,7,Xinjiang Counter-terrorism,Government
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,绝对不止这些伤亡,10,Xinjiang Counter-terrorism,Government
2,24115000,197000,"(2020, 7, 23)",乌鸦校尉CaptainWuya,2926525,46,现如今我们已经远航土澳，天上六代机，时过境迁了,9,Xinjiang Counter-terrorism,Influencer
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,比如华为爱国  又当又立,9,Xinjiang Counter-terrorism,Media
0,4917000,2153,"(2022, 2, 28)",宫水毅,1571,69,我点赞就6w了，哎，我不点,4,Xinjiang Counter-terrorism,None
0,419000,470,"(2024, 5, 9)",时间碎片记录,22435,11,致敬！,3,Xinjiang Counter-terrorism,None
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,阴间滤镜,5,Xinjiang Counter-terrorism,Government
0,449000,1907,"(2025, 3, 2)",账号已注销,3658,154,不是问路，只是单纯搭讪,3,Xinjiang Counter-terrorism,None
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,啊？,9,Xinjiang Counter-terrorism,Famous Content Creator
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,干爹,10,Xinjiang Counter-terrorism,Famous Content Creator
0,419000,470,"(2024, 5, 9)",时间碎片记录,22435,11,这。,4,Xinjiang Counter-terrorism,None
0,176000,883,"(2025, 2, 16)",我要骑宝马,4734,71,为什么他们喜欢把干啥发出来,10,Xinjiang Counter-terrorism,None
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,有啊，只能说是中国太大了。,9,Xinjiang Counter-terrorism,Famous Content Creator
0,230000,1450,"(2024, 8, 20)",长河飞烟,115046,106,河西走廊并不是立足点，而是两边夹起来只有那点地方有路最好走,4,Xinjiang Counter-terrorism,None
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,不不，，，，,6,Xinjiang Counter-terrorism,Government
